DateTime,Value
06-12-2023 12:15,49.9
06-12-2023 12:30,49.94
06-12-2023 12:45,49.99
06-12-2023 13:00,50.05
06-12-2023 13:15,49.98
06-12-2023 13:30,49.98
06-12-2023 13:45,50.02
06-12-2023 14:00,50.03
06-12-2023 14:15,49.96
06-12-2023 14:30,49.99
06-12-2023 14:45,49.95
06-12-2023 15:00,49.95
06-12-2023 15:15,50.01
06-12-2023 15:30,49.98
06-12-2023 15:45,49.98
06-12-2023 16:00,50.06
06-12-2023 16:15,50
06-12-2023 16:30,49.95
06-12-2023 16:45,49.93
06-12-2023 17:00,50.01
06-12-2023 17:15,49.97
06-12-2023 17:30,49.92
06-12-2023 17:45,49.92
06-12-2023 18:00,50.01
06-12-2023 18:15,49.92
06-12-2023 18:30,49.96
06-12-2023 18:45,50.02
06-12-2023 19:00,50.03
06-12-2023 19:15,50
06-12-2023 19:30,49.97
06-12-2023 19:45,49.98
06-12-2023 20:00,49.89
06-12-2023 20:15,49.93
06-12-2023 20:30,49.84
06-12-2023 20:45,49.93
06-12-2023 21:00,50
06-12-2023 21:15,50
06-12-2023 21:30,49.98
06-12-2023 21:45,50.01
06-12-2023 22:00,49.99
06-12-2023 22:15,49.99
06-12-2023 22:30,50
06-12-2023 22:45,50.02
06-12-2023 23:00,49.99
06-12-2023 23:15,50.01
06-12-2023 23:30,50.02
06-12-2023 23:45,50.03
07-12-2023 00:00,49.98
07-12-2023 00:15,49.96
07-12-2023 00:30,49.96
07-12-2023 00:45,49.97
07-12-2023 01:00,50
07-12-2023 01:15,50
07-12-2023 01:30,49.97
07-12-2023 01:45,49.99
07-12-2023 02:00,50.02
07-12-2023 02:15,50
07-12-2023 02:30,49.99
07-12-2023 02:45,50.01
07-12-2023 03:00,50
07-12-2023 03:15,49.98
07-12-2023 03:30,49.97
07-12-2023 03:45,49.99
07-12-2023 04:00,49.97
07-12-2023 04:15,49.98
07-12-2023 04:30,49.97
07-12-2023 04:45,49.98
07-12-2023 05:00,50.01
07-12-2023 05:15,50
07-12-2023 05:30,49.96
07-12-2023 05:45,49.99
07-12-2023 06:00,50.03
07-12-2023 06:15,50.04
07-12-2023 06:30,50.03
07-12-2023 06:45,50
07-12-2023 07:00,49.91
07-12-2023 07:15,49.87
07-12-2023 07:30,49.87
07-12-2023 07:45,49.91
07-12-2023 08:00,49.78
07-12-2023 08:15,49.73
07-12-2023 08:30,49.78
07-12-2023 08:45,49.8
07-12-2023 09:00,49.73
07-12-2023 09:15,49.67
07-12-2023 09:30,49.74
07-12-2023 09:45,49.84
07-12-2023 10:00,49.94
07-12-2023 10:15,49.94
07-12-2023 10:30,49.98
07-12-2023 10:45,50.03
07-12-2023 11:00,50.04
07-12-2023 11:15,50.07
07-12-2023 11:30,50.1
07-12-2023 11:45,50.12
07-12-2023 12:00,50.1
07-12-2023 12:15,50.03
07-12-2023 12:30,50.02
07-12-2023 12:45,50.1
07-12-2023 13:00,50.22
07-12-2023 13:15,50.04
07-12-2023 13:30,50.02
07-12-2023 13:45,50.04
07-12-2023 14:00,50.07
07-12-2023 14:15,49.98
07-12-2023 14:30,49.98
07-12-2023 14:45,49.94
07-12-2023 15:00,49.99
07-12-2023 15:15,49.95
07-12-2023 15:30,49.99
07-12-2023 15:45,50.01
07-12-2023 16:00,50.02
07-12-2023 16:15,49.92
07-12-2023 16:30,49.98
07-12-2023 16:45,49.99
07-12-2023 17:00,50.03
07-12-2023 17:15,50.02
07-12-2023 17:30,50
07-12-2023 17:45,49.98
07-12-2023 18:00,50.03
07-12-2023 18:15,50.02
07-12-2023 18:30,50.01
07-12-2023 18:45,50.03
07-12-2023 19:00,49.99
07-12-2023 19:15,49.92
07-12-2023 19:30,49.89
07-12-2023 19:45,49.97
07-12-2023 20:00,50.01
07-12-2023 20:15,50.02
07-12-2023 20:30,50.02
07-12-2023 20:45,50.03
07-12-2023 21:00,50.01
07-12-2023 21:15,49.97
07-12-2023 21:30,49.95
07-12-2023 21:45,49.99
07-12-2023 22:00,49.93
07-12-2023 22:15,49.94
07-12-2023 22:30,49.95
07-12-2023 22:45,49.98
07-12-2023 23:00,49.97
07-12-2023 23:15,49.99
07-12-2023 23:30,49.99
07-12-2023 23:45,50
08-12-2023 00:00,49.97
08-12-2023 00:15,49.98
08-12-2023 00:30,49.99
08-12-2023 00:45,50
08-12-2023 01:00,50.01
08-12-2023 01:15,50.02
08-12-2023 01:30,49.99
08-12-2023 01:45,49.99
08-12-2023 02:00,49.97
08-12-2023 02:15,49.97
08-12-2023 02:30,49.96
08-12-2023 02:45,49.99
08-12-2023 03:00,49.99
08-12-2023 03:15,49.97
08-12-2023 03:30,49.97
08-12-2023 03:45,50
08-12-2023 04:00,50.01
08-12-2023 04:15,50.01
08-12-2023 04:30,50.02
08-12-2023 04:45,50.02
08-12-2023 05:00,50.02
08-12-2023 05:15,50
08-12-2023 05:30,50
08-12-2023 05:45,50.01
08-12-2023 06:00,50.06
08-12-2023 06:15,49.98
08-12-2023 06:30,49.97
08-12-2023 06:45,49.93
08-12-2023 07:00,49.87
08-12-2023 07:15,49.79
08-12-2023 07:30,49.85
08-12-2023 07:45,49.85
08-12-2023 08:00,49.91
08-12-2023 08:15,49.91
08-12-2023 08:30,49.98
08-12-2023 08:45,49.96
08-12-2023 09:00,49.98
08-12-2023 09:15,49.97
08-12-2023 09:30,49.9
08-12-2023 09:45,49.89
08-12-2023 10:00,49.98
08-12-2023 10:15,50.03
08-12-2023 10:30,50.01
08-12-2023 10:45,49.99
08-12-2023 11:00,49.96
08-12-2023 11:15,49.95
08-12-2023 11:30,49.91
08-12-2023 11:45,49.94
08-12-2023 12:00,49.91
08-12-2023 12:15,49.95
08-12-2023 12:30,49.99
08-12-2023 12:45,50.02
08-12-2023 13:00,50.07
08-12-2023 13:15,50.01
08-12-2023 13:30,50
08-12-2023 13:45,50.01
08-12-2023 14:00,50.01
08-12-2023 14:15,50
08-12-2023 14:30,50.03
08-12-2023 14:45,50.03
08-12-2023 15:00,50.06
08-12-2023 15:15,50
08-12-2023 15:30,50.01
08-12-2023 15:45,50.01
08-12-2023 16:00,49.98
08-12-2023 16:15,49.96
08-12-2023 16:30,49.95
08-12-2023 16:45,49.93
08-12-2023 17:00,49.96
08-12-2023 17:15,49.95
08-12-2023 17:30,49.95
08-12-2023 17:45,49.92
08-12-2023 18:00,49.99
08-12-2023 18:15,49.94
08-12-2023 18:30,49.97
08-12-2023 18:45,49.97
08-12-2023 19:00,49.99
08-12-2023 19:15,49.97
08-12-2023 19:30,49.98
08-12-2023 19:45,50.01
08-12-2023 20:00,49.99
08-12-2023 20:15,49.98
08-12-2023 20:30,49.99
08-12-2023 20:45,50
08-12-2023 21:00,49.99
08-12-2023 21:15,50
08-12-2023 21:30,49.99
08-12-2023 21:45,50.03
08-12-2023 22:00,50
08-12-2023 22:15,49.98
08-12-2023 22:30,49.97
08-12-2023 22:45,49.98
08-12-2023 23:00,49.99
08-12-2023 23:15,49.99
08-12-2023 23:30,49.98
08-12-2023 23:45,50
09-12-2023 00:00,49.99
09-12-2023 00:15,49.97
09-12-2023 00:30,49.94
09-12-2023 00:45,50
09-12-2023 01:00,50.02
09-12-2023 01:15,50.01
09-12-2023 01:30,50
09-12-2023 01:45,49.97
09-12-2023 02:00,50
09-12-2023 02:15,50.02
09-12-2023 02:30,50
09-12-2023 02:45,50.01
09-12-2023 03:00,50
09-12-2023 03:15,49.97
09-12-2023 03:30,49.99
09-12-2023 03:45,49.99
09-12-2023 04:00,50.01
09-12-2023 04:15,49.96
09-12-2023 04:30,49.92
09-12-2023 04:45,49.97
09-12-2023 05:00,49.96
09-12-2023 05:15,49.92
09-12-2023 05:30,49.94
09-12-2023 05:45,50
09-12-2023 06:00,50.09
09-12-2023 06:15,50.01
09-12-2023 06:30,50.01
09-12-2023 06:45,49.96
09-12-2023 07:00,49.95
09-12-2023 07:15,49.99
09-12-2023 07:30,49.97
09-12-2023 07:45,49.96
09-12-2023 08:00,49.95
09-12-2023 08:15,49.89
09-12-2023 08:30,50.01
09-12-2023 08:45,50.03
09-12-2023 09:00,50.02
09-12-2023 09:15,50.03
09-12-2023 09:30,50.01
09-12-2023 09:45,50.01
09-12-2023 10:00,50.02
09-12-2023 10:15,50.04
09-12-2023 10:30,50.02
09-12-2023 10:45,50.01
09-12-2023 11:00,50.01
09-12-2023 11:15,50
09-12-2023 11:30,49.98
09-12-2023 11:45,49.99
09-12-2023 12:00,49.98
09-12-2023 12:15,49.96
09-12-2023 12:30,49.94
09-12-2023 12:45,49.92
09-12-2023 13:00,50
09-12-2023 13:15,50.02
09-12-2023 13:30,50
09-12-2023 13:45,50.02
09-12-2023 14:00,50.05
09-12-2023 14:15,49.98
09-12-2023 14:30,49.97
09-12-2023 14:45,49.96
09-12-2023 15:00,50
09-12-2023 15:15,49.98
09-12-2023 15:30,49.98
09-12-2023 15:45,49.95
09-12-2023 16:00,50
09-12-2023 16:15,50.01
09-12-2023 16:30,50.02
09-12-2023 16:45,50.01
09-12-2023 17:00,50
09-12-2023 17:15,50.02
09-12-2023 17:30,50.01
09-12-2023 17:45,50.01
